"Module","Topic","EnglishTerm","Chinese","SimpleEnglish","ChineseExplanation","SourceFile","RawFile","CandidateType"
"01","Artificial Intelligence","Artificial Intelligence","浜哄伐鏅鸿兘","Technology that lets computers do tasks that normally need human intelligence.","璁╃數鑴戝仛涓€浜涢€氬父闇€瑕佷汉鏉ュ垽鏂€佽瘑鍒垨澶勭悊鐨勪簨鎯呫€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","AI","浜哄伐鏅鸿兘锛圓I锛?","Short name for Artificial Intelligence.","浜哄伐鏅鸿兘鐨勮嫳鏂囩缉鍐欍€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","intelligence","鏅鸿兘","The ability to recognize, predict, create, recommend, or act usefully.","鑳界湅鍑鸿寰嬨€佸仛鍒ゆ柇銆佷骇鍑虹粨鏋滄垨閲囧彇琛屽姩鐨勮兘鍔涖€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","computer system","璁＄畻鏈虹郴缁?","Software and hardware working together to process information.","涓€璧峰鐞嗕俊鎭殑杞欢鍜岀‖浠躲€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","human intelligence","浜虹被鏅鸿兘","Human abilities such as understanding, judgment, and problem solving.","浜虹被鐞嗚В銆佸垽鏂拰瑙ｅ喅闂鐨勮兘鍔涖€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","task","浠诲姟","A piece of work a system is asked to perform.","绯荤粺琚姹傚畬鎴愮殑涓€浠朵簨銆?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","broad field","骞挎硾棰嗗煙","A large area containing many methods and applications.","鍖呭惈寰堝鏂规硶鍜屽簲鐢ㄧ殑澶ц寖鍥寸煡璇嗛鍩熴€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","pattern recognition","妯″紡璇嗗埆","Finding meaningful regularities in data.","浠庢暟鎹噷鎵惧嚭閲嶅鎴栨湁鎰忎箟鐨勮寰嬨€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","pattern","妯″紡锛涜寰?","A repeated or useful relationship in examples.","渚嬪瓙涓弽澶嶅嚭鐜般€佸彲浠ュ埄鐢ㄧ殑瑙勫緥銆?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","prediction","棰勬祴","Estimating what may happen or what an input means.","鏍规嵁宸叉湁淇℃伅鐚滄祴缁撴灉鎴栦笅涓€姝ャ€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","recommendation","鎺ㄨ崘","Suggesting what may be useful to a person.","鏍规嵁鎯呭喌寤鸿鍙兘鏈夌敤鐨勫唴瀹规垨閫夐」銆?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","generation","鐢熸垚","Creating new content or a new result.","鏍规嵁杈撳叆鍒涢€犳柊鐨勫唴瀹规垨缁撴灉銆?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","action","琛屽姩锛涘姩浣?","A step taken by a system after deciding what to do.","绯荤粺鍒ゆ柇鍚庣湡姝ｆ墽琛岀殑涓嬩竴姝ャ€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","input","杈撳叆","Information given to an AI system.","閫佽繘绯荤粺鐨勪俊鎭€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","output","杈撳嚭","The result returned by an AI system.","绯荤粺澶勭悊鍚庤繑鍥炵殑缁撴灉銆?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","process","澶勭悊","Applying rules or learned patterns to input.","鐢ㄨ鍒欐垨瀛﹀埌鐨勮寰嬪鐞嗚緭鍏ャ€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","decide","鍐冲畾","Choose a result or next step based on information.","鏍规嵁杈撳叆鍐冲畾鍒嗙被銆佸洖绛旀垨琛屽姩銆?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","result","缁撴灉","What the system produces after processing.","绯荤粺澶勭悊鍚庝骇鐢熺殑涓滆タ銆?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
"01","Artificial Intelligence","useful result","鏈夌敤缁撴灉","An output that helps the user or another system.","瀵逛汉鎴栧叾浠栫郴缁熸湁甯姪鐨勮緭鍑恒€?","01-artificial-intelligence.html","01-artificial-intelligence.md","Main Candidate"
