English Term,中文,Simple English,中文小白理解,Module/Topic,Source Raw File
Artificial Intelligence (AI),人工智能（AI）,Technology that lets computers perform tasks that normally need human intelligence.,让计算机完成通常需要人类理解、判断或创造力的事情。,01 / Artificial Intelligence,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-reinforcement-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 03-large-language-models.md; 03-scientific-models.md; 04-training-data.md; 05-token.md; 05-tokenization.md; 06-prompt-design.md; 06-structured-outputs.md; 07-audio-generation.md; 07-generative-ai.md; 07-image-generation.md; 07-multimodal-ai.md; 07-video-generation.md; 09-human-in-the-loop.md; 09-multi-agent-systems.md; 09-tool-calling.md; 10-latency.md; 10-local-vs-cloud.md; 10-model-serving.md; 10-runtime-constraints.md; 11-deployment-readiness.md; 11-evaluation.md; 11-functional-tests.md; 12-adoption.md; 12-technical-scoping.md; 13-major-ai-providers.md; 17-frontend-backend.md; 19-product-services.md
Machine Learning (ML),机器学习（ML）,A way for computers to learn patterns from data and use them to make predictions or decisions.,不把规则一条条写死，而是让系统从数据中学规律。,01 / Machine Learning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-reinforcement-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 02-neural-networks.md; 04-training-data.md
Deep Learning (DL),深度学习（DL）,Machine learning that uses neural networks with many layers.,用很多层神经网络学习复杂规律的方法。,01 / Deep Learning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 02-cnn.md; 02-diffusion-models.md; 02-layers.md; 02-neural-networks.md; 02-rnn-lstm.md; 04-training-data.md; 07-audio-generation.md; 07-generative-ai.md
Supervised Learning,监督学习,Learning from examples that include the expected answer or label.,训练资料里已经给了正确答案，模型照着学习。,01 / Supervised Learning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-reinforcement-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 04-instruction-tuning.md; 04-training-data.md
Unsupervised Learning,无监督学习,Learning patterns from data without provided answer labels.,没有标准答案，模型自己寻找数据中的结构。,01 / Unsupervised Learning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-reinforcement-learning.md; 01-unsupervised-learning.md; 04-pre-training.md; 04-training-data.md
Reinforcement Learning (RL),强化学习（RL）,Learning by trying actions and using rewards or penalties as feedback.,模型不断尝试行动，根据奖励或惩罚学会怎么做。,01 / Reinforcement Learning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-reinforcement-learning.md; 01-unsupervised-learning.md; 04-preference-learning-rlhf.md; 04-training-data.md
Self-Supervised Learning,自监督学习,Creating training signals from the data itself.,"不靠人工逐条标答案,而是从数据自身生成学习目标。",01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 01-unsupervised-learning.md; 03-vision-foundation-models.md; 04-pre-training.md
Semi-Supervised Learning,半监督学习,Learning from a mix of labeled and unlabeled data.,"一部分数据有答案,另一部分没有答案。",01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md
Algorithm,算法,A procedure for solving a problem or learning from data.,解决问题或从数据学习的一套步骤。,01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-vision-foundation-models.md; 04-training-data.md
Dataset,数据集,An organized collection of examples used for analysis or model development.,按一定方式整理好、供模型学习或测试的一批数据。,01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-vision-foundation-models.md; 04-instruction-tuning.md; 04-pre-training.md; 04-training-data.md
Training Data,训练数据,Examples used to teach a model.,用来教模型的样本集合。,01 / Machine Learning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 02-attention.md; 02-diffusion-models.md; 03-foundation-models.md; 03-large-language-models.md; 03-parameters.md; 03-scientific-models.md; 04-pre-training.md; 04-training-data.md; 07-image-generation.md
Feature,特征,A measurable property or signal used to make a prediction.,模型用来判断问题的一项数据特征。,01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 02-cnn.md; 02-neural-networks.md; 03-vision-foundation-models.md; 04-pre-training.md; 07-image-generation.md; 08-embeddings.md
Label,标签,The expected category or answer attached to a training example.,训练例子旁边标注的正确类别或答案。,01 / Supervised Learning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-reinforcement-learning.md; 01-supervised-learning.md; 02-neural-networks.md; 02-rnn-lstm.md; 03-multimodal-models.md; 03-parameters.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-training-data.md; 05-inference.md; 08-embeddings.md
Target Variable,目标值,The answer the model is supposed to predict,模型要预测的目标答案,01 / Supervised Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-parameters.md; 04-pre-training.md; 04-training-data.md; 10-runtime-constraints.md; 11-deployment-readiness.md
Prediction,预测,A result a model estimates from an input.,模型根据输入猜出的结果。,01 / Machine Learning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 02-cnn.md; 02-layers.md; 02-neural-networks.md; 02-rnn-lstm.md; 02-transformer.md; 03-large-language-models.md; 03-parameters.md; 03-scientific-models.md; 04-pre-training.md; 04-training-data.md; 05-inference.md; 05-next-token-prediction.md; 05-sampling-temperature.md; 07-generative-ai.md; 07-text-generation.md; 10-tokens-per-second.md
Classification,分类,Assigning an input to one or more predefined categories.,把内容放进一个或多个预先定义的类别。,01 / Supervised Learning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 02-cnn.md; 02-layers.md; 02-neural-networks.md; 02-transformer.md; 03-multimodal-models.md; 03-vision-foundation-models.md; 04-instruction-tuning.md; 05-inference.md; 11-failure-handling.md; 16-automation-platforms.md
Regression,回归,Predicting a numeric value rather than a category.,预测一个数值，例如价格或温度。,01 / Supervised Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 02-neural-networks.md; 04-fine-tuning.md
Clustering,聚类,Grouping similar data points without predefined labels.,把相似的数据自动分成一组组。,01 / Unsupervised Learning,01-machine-learning.md; 01-unsupervised-learning.md
Dimensionality Reduction,降维,Represent data with fewer dimensions,用更少的维度表示数据,01 / Unsupervised Learning,01-machine-learning.md; 01-unsupervised-learning.md
Recommendation System,推荐系统,A system that ranks or suggests items for a user.,根据用户行为推荐商品、视频或文章的系统。,01 / Machine Learning,01-machine-learning.md; 01-reinforcement-learning.md; 09-human-in-the-loop.md
Pattern Recognition,模式识别,Finding meaningful regularities in data.,从数据里找出重复或有意义的规律。,01 / Artificial Intelligence,01-artificial-intelligence.md; 02-cnn.md
Generalization,泛化,Performing well on new data that was not in the training examples.,不只会背训练题，遇到新资料也能做好。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 02-layers.md; 03-foundation-models.md; 03-large-language-models.md; 03-parameters.md; 03-scientific-models.md; 04-instruction-tuning.md; 04-pre-training.md; 04-training-data.md; 05-inference.md
Overfitting,过拟合,Learning the training examples too closely and performing poorly on new data.,把练习题背得太熟，换题就不会了。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 05-inference.md
Underfitting,欠拟合,Failing to learn enough of the useful pattern in the data.,连训练资料里的主要规律都没有学好。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 04-pre-training.md; 05-inference.md
Hyperparameter,超参数,"A setting chosen before or around training, such as learning rate or batch size.",训练前或训练过程中由人设定的控制旋钮。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 04-training-data.md
Weight,权重,A learned number that controls how strongly one signal affects another.,决定某个输入信号影响有多大的数字。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 02-layers.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 05-kv-cache.md; 10-gpu-vram-unified-memory.md; 10-model-serving.md; 10-ollama.md; 10-vllm.md; 13-major-ai-providers.md; 13-open-closed-local-models.md
Bias,偏置,A learned offset added to a model computation.,模型计算中用来调整基础输出的内部数字。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 02-layers.md; 03-foundation-models.md; 03-multimodal-models.md; 03-parameters.md; 04-preference-learning-rlhf.md; 04-training-data.md; 05-inference.md; 07-image-generation.md; 09-human-in-the-loop.md; 11-failure-modes.md; 11-hallucination.md
Activation,激活值 / 激活,A value produced by a unit after its transformation.,某个神经单元经过计算后输出的数值。,01 / Deep Learning,01-deep-learning.md; 03-large-language-models.md
Activation Function,激活函数,A function that transforms a unit's input into its output.,决定神经网络单元如何把输入变成输出的函数。,01 / Deep Learning,01-deep-learning.md; 02-layers.md
Loss Function,损失函数,A function that measures how far a model output is from the desired answer.,用一个数字表示模型答得有多偏，训练会努力把它变小。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 04-training-data.md
Cross-Entropy Loss,交叉熵损失,A loss used especially for comparing predicted probabilities with the correct class.,比较模型给出的类别概率和正确类别的差距。,01 / Deep Learning,03-large-language-models.md; 04-pre-training.md
Mean Squared Error (MSE),均方误差,The average squared difference between predictions and targets.,把预测差距平方后取平均的误差指标。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 04-training-data.md
Gradient,梯度,A direction and rate showing how a quantity changes.,告诉模型往哪个方向调整能让损失变化的数学信息。,01 / Deep Learning,01-deep-learning.md; 01-supervised-learning.md; 02-attention.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 04-training-data.md
Gradient Descent,梯度下降,An optimization method that updates parameters in the direction that reduces loss.,沿着让错误变小的方向一点点调整模型参数。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 04-training-data.md
Backpropagation,反向传播,Sending error information backward through a network to update its parameters.,把误差信息从后往前传，帮助各层调整参数。,01 / Deep Learning,01-deep-learning.md; 02-attention.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md
Optimizer,优化器,A method that changes model parameters during training.,负责按照训练反馈更新参数的算法。,01 / Deep Learning,01-deep-learning.md; 01-supervised-learning.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 04-training-data.md
Learning Rate,学习率,The size of each parameter update.,每次调整模型时迈多大一步。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 04-training-data.md
Epoch,训练轮次,One complete pass through the training dataset.,把整份训练资料完整看一遍。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 04-training-data.md
Batch,批次,A group of examples processed together.,一次放进模型一起计算的一小组样本。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-large-language-models.md; 04-pre-training.md; 04-training-data.md; 05-kv-cache.md; 10-model-serving.md; 10-vllm.md
Mini-Batch,小批次,A small batch used for a training update.,用于一次更新的小批样本。,01 / Deep Learning,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 04-training-data.md
Batch Size,批大小,The number of examples processed in one batch.,每次一起计算多少个训练样本。,01 / Deep Learning,01-deep-learning.md; 03-large-language-models.md; 04-pre-training.md; 05-kv-cache.md; 10-runtime-constraints.md
Training Set,训练集,The portion of data used to fit a model.,真正拿来教模型的那部分数据。,01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 04-training-data.md
Validation Set,验证集,Data used to choose settings and compare versions.,用来调设置、比较模型方案的数据。,01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 04-pre-training.md; 04-training-data.md
Test Set,测试集,Data used for a final unbiased check.,最后验收模型、尽量不参与训练的数据。,01 / Machine Learning,01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md; 04-training-data.md; 11-benchmarks.md
